path,label,source
data\common_voice\hi\common_voice_hi_26350713.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26044152.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_40262480.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24910569.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_39589369.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26955740.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43596850.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_23833608.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24969754.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600519.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26005343.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_28223725.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26354285.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26116139.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38333537.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43599935.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27371825.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_39594326.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27517882.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600401.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27466027.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600644.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26043778.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26152442.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43614199.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41116052.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26350962.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_35078785.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27706787.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25982520.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24510963.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26116154.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41455372.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25158023.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600099.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26955881.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26249453.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38108132.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600642.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_40355247.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43599596.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27582837.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41283323.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26022096.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43596682.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41379431.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27509029.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41366731.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27478716.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26358315.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_36911308.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26214964.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27429397.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27005204.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_39589383.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41366763.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25982659.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25473135.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_23976037.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27372000.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24280957.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27388741.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24759459.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_37579855.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26028500.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27719003.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43597250.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25012347.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26954709.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43597093.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26115126.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43599866.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24883975.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26351527.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38112169.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41379449.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27291493.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27408372.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27005613.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27466176.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38333625.mp3,0,cv_hi
data\common_voice\hi\common_voice_hi_29818546.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26207804.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24258357.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43599574.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_31806950.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41228909.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41117406.mp3,0,cv_hi
data\common_voice\hi\common_voice_hi_24359460.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41283039.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41117639.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_29818884.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600633.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27429485.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26040805.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26326413.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24228565.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_39589377.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26619814.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26955638.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25269475.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_35078777.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27146784.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_39831969.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26954885.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38228369.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_40438204.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43599925.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_29818666.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27388998.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24956003.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41116001.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25148883.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27388695.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_40184815.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26078693.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25379979.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38112220.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_23849303.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24759546.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43612197.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38110551.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_29209737.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_40542768.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27508947.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27546214.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38333568.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26007706.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25225001.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26950305.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26021855.mp3,0,cv_hi
data\common_voice\hi\common_voice_hi_24280958.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26358215.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600000.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_29818851.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27706647.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27501642.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26033027.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27501485.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_23852771.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26955582.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_28223769.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27408065.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26117466.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24026242.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41283321.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25189857.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_37579863.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26041077.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_40339886.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_30706612.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43599635.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27479151.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41385756.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27762667.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_39589385.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27389480.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26544159.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26019786.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26115349.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_37466088.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24663111.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26131830.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600288.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24360548.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24258312.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26115397.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25242531.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24026391.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600423.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27005285.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26351525.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25241077.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27744656.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24975899.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_41116119.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600511.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43599746.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26078695.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24228604.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26049998.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25256918.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_30574641.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_38333607.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27592119.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_25323069.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26354249.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26352934.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_29732550.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600074.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_35095476.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26033307.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27408593.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27517837.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26358084.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_27393961.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600917.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_43600774.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_26350975.wav,0,cv_hi
data\common_voice\hi\common_voice_hi_24957845.wav,0,cv_hi
data\generated_ai\hi\ai_hi_0.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_1.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_10.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_100.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_101.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_102.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_103.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_104.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_105.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_106.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_107.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_108.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_109.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_11.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_110.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_111.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_112.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_113.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_114.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_115.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_116.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_117.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_118.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_119.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_12.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_120.wav,1,gtts_hi
data\generated_ai\hi\ai_hi_121.wav,1,gtts_hi
